,date,prcp,month
2505,2017-01-12,0.0,2017-01-12 00:00:00
2506,2017-01-13,0.0,2017-01-13 00:00:00
2507,2017-01-14,0.0,2017-01-14 00:00:00
2508,2017-01-15,0.0,2017-01-15 00:00:00
2509,2017-01-16,0.0,2017-01-16 00:00:00
2510,2017-01-17,0.0,2017-01-17 00:00:00
2511,2017-01-18,0.0,2017-01-18 00:00:00
2512,2017-01-19,0.0,2017-01-19 00:00:00
2513,2017-01-20,0.0,2017-01-20 00:00:00
2514,2017-01-21,0.0,2017-01-21 00:00:00
2515,2017-01-22,0.16,2017-01-22 00:00:00
2516,2017-01-23,0.0,2017-01-23 00:00:00
2517,2017-01-24,0.04,2017-01-24 00:00:00
2518,2017-01-25,0.03,2017-01-25 00:00:00
2519,2017-01-26,0.0,2017-01-26 00:00:00
2520,2017-01-27,0.0,2017-01-27 00:00:00
2521,2017-01-28,0.0,2017-01-28 00:00:00
2522,2017-01-29,0.18,2017-01-29 00:00:00
2523,2017-01-30,0.0,2017-01-30 00:00:00
2524,2017-01-31,0.0,2017-01-31 00:00:00
2525,2017-02-01,0.0,2017-02-01 00:00:00
2526,2017-02-02,0.0,2017-02-02 00:00:00
2527,2017-02-03,0.0,2017-02-03 00:00:00
2528,2017-02-04,0.0,2017-02-04 00:00:00
2529,2017-02-05,0.0,2017-02-05 00:00:00
2530,2017-02-06,0.0,2017-02-06 00:00:00
2531,2017-02-07,0.51,2017-02-07 00:00:00
2532,2017-02-08,0.0,2017-02-08 00:00:00
2533,2017-02-09,0.0,2017-02-09 00:00:00
2534,2017-02-10,0.0,2017-02-10 00:00:00
2535,2017-02-11,0.31,2017-02-11 00:00:00
2536,2017-02-12,2.62,2017-02-12 00:00:00
2537,2017-02-13,0.01,2017-02-13 00:00:00
2538,2017-02-14,0.0,2017-02-14 00:00:00
2539,2017-02-15,0.0,2017-02-15 00:00:00
2540,2017-02-16,0.07,2017-02-16 00:00:00
2541,2017-02-17,0.0,2017-02-17 00:00:00
2542,2017-02-18,0.0,2017-02-18 00:00:00
2543,2017-02-19,0.0,2017-02-19 00:00:00
2544,2017-02-20,0.0,2017-02-20 00:00:00
2545,2017-02-21,0.06,2017-02-21 00:00:00
2546,2017-02-22,0.06,2017-02-22 00:00:00
2547,2017-02-23,0.01,2017-02-23 00:00:00
2548,2017-02-24,0.0,2017-02-24 00:00:00
2549,2017-02-25,0.03,2017-02-25 00:00:00
2550,2017-02-26,0.0,2017-02-26 00:00:00
2551,2017-02-27,0.0,2017-02-27 00:00:00
2552,2017-02-28,0.0,2017-02-28 00:00:00
2553,2017-03-01,1.19,2017-03-01 00:00:00
2554,2017-03-02,0.73,2017-03-02 00:00:00
2555,2017-03-03,0.47,2017-03-03 00:00:00
2556,2017-03-04,0.0,2017-03-04 00:00:00
2557,2017-03-05,0.35,2017-03-05 00:00:00
2558,2017-03-06,0.0,2017-03-06 00:00:00
2559,2017-03-07,0.0,2017-03-07 00:00:00
2560,2017-03-08,0.0,2017-03-08 00:00:00
2561,2017-03-09,0.0,2017-03-09 00:00:00
2562,2017-03-10,0.0,2017-03-10 00:00:00
2563,2017-03-11,0.0,2017-03-11 00:00:00
2564,2017-03-12,0.0,2017-03-12 00:00:00
2565,2017-03-13,0.0,2017-03-13 00:00:00
2566,2017-03-14,0.0,2017-03-14 00:00:00
2567,2017-03-15,0.0,2017-03-15 00:00:00
2568,2017-03-16,0.0,2017-03-16 00:00:00
2569,2017-03-17,0.0,2017-03-17 00:00:00
2570,2017-03-18,0.0,2017-03-18 00:00:00
2571,2017-03-19,0.0,2017-03-19 00:00:00
